digital_code,letter_code,units,name,rate
36,AUD,1,Австралийский доллар,58.9826
944,AZN,1,Азербайджанский манат,51.7768
51,AMD,100,Армянских драмов,22.6641
933,BYN,1,Белорусский рубль,27.758
975,BGN,1,Болгарский лев,49.1897
986,BRL,1,Бразильский реал,15.8816
348,HUF,100,Венгерских форинтов,24.4835
410,KRW,1000,Вон Республики Корея,63.7877
704,VND,10000,Вьетнамских донгов,36.3031
344,HKD,1,Гонконгский доллар,11.2905
981,GEL,1,Грузинский лари,32.6571
208,DKK,1,Датская крона,12.8958
784,AED,1,Дирхам ОАЭ,23.9675
840,USD,1,Доллар США,88.0206
978,EUR,1,Евро,96.0371
818,EGP,10,Египетских фунтов,18.242
356,INR,10,Индийских рупий,10.5237
360,IDR,10000,Индонезийских рупий,54.4682
398,KZT,100,Казахстанских тенге,18.4518
124,CAD,1,Канадский доллар,64.2674
634,QAR,1,Катарский риал,24.1815
417,KGS,10,Киргизских сомов,10.3991
156,CNY,1,Китайский юань,12.0335
498,MDL,10,Молдавских леев,49.7019
554,NZD,1,Новозеландский доллар,53.0544
934,TMT,1,Новый туркменский манат,25.1487
578,NOK,10,Норвежских крон,81.8918
985,PLN,1,Польский злотый,22.3057
946,RON,1,Румынский лей,19.2732
960,XDR,1,СДР (специальные права заимствования),116.9855
941,RSD,100,Сербских динаров,81.8728
702,SGD,1,Сингапурский доллар,65.4818
972,TJS,10,Таджикских сомони,82.5818
764,THB,10,Таиландских батов,24.2963
949,TRY,10,Турецких лир,26.6175
860,UZS,10000,Узбекских сумов,69.8516
980,UAH,10,Украинских гривен,21.2497
826,GBP,1,Фунт стерлингов Соединенного королевства,114.2331
203,CZK,10,Чешских крон,37.9481
752,SEK,10,Шведских крон,83.4127
756,CHF,1,Швейцарский франк,99.0665
710,ZAR,10,Южноафриканских рэндов,47.9676
392,JPY,100,Японских иен,55.9287
